Id,Title (orig.),Author,Author (GND),Title (en),Title (de),Genre,Year,Language,Comment
1,,Aesop,187640157,The Wolf and the Lamb,Das Lamm und der Wolf,fable,600 BCE,,
2,,"Andersen, Hans-Christian",118502794,The Elf of the Rose,Der Rosen-Elf,folktale,1839,dk,
3,,"Andersen, Hans Christian",118502794,The Top and Ball,Das Liebespaar,folktale,1862,dk,
4,Se una notte d’inverno un viaggiatore,"Calvino, Italo",118518542,If on a Winter' s Night a Traveller,Wenn ein Reisender in einer Winternacht,novel,1979,it,
5,Se una notte d’inverno un viaggiatore,"Calvino, Italo",118518542,If on a Winter' s Night a Traveller,Wenn ein Reisender in einer Winternacht,novel,1979,it,Shortened
6,Мститель,"Čechov, Anton Pavlovič",118638289,An Avenger,Der Rächer seiner Ehre,short story,1887,ru,
7,Die Blechtrommel,"Grass, Günter",118541579,,Die Blechtrommel,novel,1959,de,
8,Die Blechtrommel,"Grass, Günter",118541579,,Die Blechtrommel,novel,1959,de,
9,The Child's Story,"Dickens, Charles",118525239,The Child's Story,,short story,1852,en,
10,Die drei Federn,"Grimm, Brüder",1083009273,Feathers,Die drei Federn,folktale,1819,de,
11,Das wohlfeile Mitagessen,"Hebel, Johann Peter",118547453,The Cheap Meal,Das wohlfeile Mittagessen,anecdote,1804,de,
12,Der geheilte Patient,"Hebel, Johann Peter",118547453,The Cured Patient,Der geheilte Patient,anecdote,1811,de,
13,Hills Like White Elephants,"Hemingway, Ernest",118549030,Hills Like White Elephants,Berge wie weiße Elefanten,short story,1920,en,
14,How the Leopard got his Spots,"Kipling, Rudyard",118562290,How the Leopard got his Spots,Wie der Leopard zu seinen Flecken kam,short story,1901,en,
15,Beyond the Pale,"Kipling, Rudyard",118562290,Beyond the Pale,Jenseits,short story,1888,en,
16,Unwahrscheinliche Wahrhaftigkeiten,"Kleist, Heinrich von",118563076,Improbable Veracities,Unwahrscheinliche Wahrhaftigkeiten,anecdote,1810,de,
17,,"Lagerlöf, Selma",118726005,Among the Climbing Roses,Unter den Kletterrosen,narration,1894,sv,
18,The Cask of Amontillado,"Poe, Edgar Allen",11859527X,The Cask of Amontillado,Das Faß Amontillado,short story,1846,en,
19,Frankenstein or The Modern Prometheus,"Shelley, Mary",11879695X,Frankenstein or The Modern Prometheus,Frankenstein oder Der moderne Prometheus,novel,1818,en,
20,A Haunted House,"Woolf, Virginia",118635174,A Haunted House,Ein verwunschenes Haus,short story,1921,en,